id,num,num5,num6,num7,num8,year,year2,boolean,boolean2,blank,City,City2
1,40,,92,,38,2006,2010,false,false,,Zainsk,
2,67,21,44,94,60,2005,2012,,true,,,Ivanec
3,2,,38,,100,2008,1994,false,,,Vesëlyy,Jianshe
4,63,66,95,,95,2012,,false,,,Banjar Asahduren,Baranoa
5,,61,53,88,81,1993,,true,true,,La Guacamaya,Petrovskaya
6,,67,34,,20,1964,,true,false,,Kuala Baru,Mladá Boleslav
7,100,63,76,17,31,1994,,false,,,,Masaling
8,29,,97,92,29,2009,2004,false,false,,Malasugui,San Juan
9,65,13,37,29,5,2005,1999,false,,,Higashimurayama-shi,Dongping
10,73,97,67,,46,2009,2006,false,false,,Vol’nyy Aul,Arras
11,53,82,61,16,33,1983,2003,false,,,Vitarte,Memphis
12,26,,77,62,58,1996,1995,true,true,,Fengle,Malaya Dubna
13,,95,69,,27,2012,,false,true,,Sūq Şirwāḩ,Borovoy
14,,85,79,84,10,2000,2012,true,false,,Huayan,
15,44,25,62,,61,1999,1992,false,false,,Tsaghkadzor,Huainan
16,11,97,20,95,89,1988,2001,,false,,Pangkalan,Si Sa Ket
17,53,27,94,34,23,1996,1979,,false,,Kristiansand S,Yeliguan
18,18,,89,75,56,2010,1996,,false,,Tundagan,Deskle
19,58,,76,,76,1995,,false,false,,Xiaolin,Stettler
20,42,53,54,16,35,2011,1995,true,false,,Fernando de Noronha (Distrito Estadual),Tondano
21,,,79,11,49,1983,,true,true,,Al Karāmah,Houping
22,32,46,42,6,17,2000,1972,false,false,,Novouzensk,Quellouno
23,,74,68,,15,2007,2005,false,true,,Gutang,Emmaboda
24,34,64,28,25,11,2001,2008,true,,,Göteborg,Shanglaxiu
25,19,21,86,,15,2006,1993,false,,,Gaozhou,Dobre
26,21,21,49,40,87,2004,2007,false,false,,,Vagos
27,98,,17,7,57,1994,1985,true,true,,Sumberjati,Dayapan
28,21,68,20,,54,2000,2009,true,true,,Jingdu,Korczew
29,7,56,89,,93,2002,1966,,true,,Jatibonico,Bordeaux
30,68,9,54,4,39,2009,,false,false,,Villa de Soto,Manay
31,51,78,27,73,19,1992,2000,true,,,Jiangchi,Litvínovice
32,62,,19,65,40,2006,1977,true,,,Kombandaru,Senneterre
33,51,8,64,,65,1999,1995,false,false,,,Kỳ Anh
34,19,43,42,73,13,1997,1967,,,,Gialo,Babakantonggoh
35,77,23,11,,89,2005,2009,true,true,,Baoshan,Lunik
36,21,,76,14,15,2006,1996,true,false,,Kamen’-na-Obi,Al ‘Anān
37,83,8,60,,18,2004,2007,true,true,,Kuhmoinen,Songshan
38,82,37,52,39,26,1998,,true,false,,Nam Som,Zhambyl
39,25,88,94,34,8,1992,2005,false,,,Épernay,La Viña
40,,90,1,50,38,1997,2009,,false,,Novo-Peredelkino,Qingfenglin
41,61,6,9,88,26,2004,1994,false,false,,Huangzhai,Shuizhai
42,1,97,76,6,76,1995,,false,false,,Norak,Oslo
43,42,65,27,,54,2000,2009,false,false,,Barubandung,Żarów
44,,74,20,,23,1990,2010,,true,,Pata,Putre
45,,23,73,70,32,2004,2003,true,false,,Hūn,Ilopango
46,,78,64,,50,2007,2007,false,true,,Changwon,Qiangtou
47,30,,58,,78,2008,,false,true,,Liebu,Chennevières-sur-Marne
48,39,,27,13,11,1994,2005,true,true,,Cerro Corá,Verrettes
49,93,59,5,26,35,2011,2010,false,,,Perbaungan,Dāngām
50,73,34,75,4,83,1995,,false,true,,Kaeng Khro,La Gloria
51,44,42,80,,79,2008,1996,false,true,,Alannay,Untolovo
52,14,15,8,,83,2007,2008,true,,,Taishihe,Capâo Bonito
53,7,63,22,25,89,2003,,true,false,,Komsomolets,
54,32,,12,94,19,1996,1993,true,,,El Zapotal del Norte,Delcevo
55,73,88,37,48,96,2008,,false,false,,Starobin,Den Chai
56,31,,78,,23,2003,2000,true,true,,Ettal,Colcabamba
57,,69,67,,18,1989,,true,false,,Ugljevik,Tapan
58,10,91,72,,83,1998,,true,,,,Temeke
59,65,65,47,15,98,2000,2008,true,false,,Rennes,Cortez
60,,,34,,78,2002,1989,false,false,,Jevišovice,Puerto López
61,47,86,54,25,65,2006,2006,false,,,Fonte Boa da Brincosa,Hecun
62,24,,52,,75,2002,2012,true,true,,Żoliborz,Kuangsan
63,11,45,1,,28,2008,,true,true,,Waoundé,Huangzhawan
64,80,59,58,73,65,1969,1986,false,true,,Victoria,Kamenka
65,23,,11,,68,1995,2002,true,true,,Sūrak,Kangdong-ŭp
66,19,93,53,39,81,2002,1993,true,false,,Vitry-sur-Seine,Baykit
67,,35,81,,63,2002,1994,false,true,,Gagah,Krajan Winong
68,62,28,13,,78,1987,,true,false,,Zhaolingpu,L'viv
69,,14,21,,48,2012,1988,true,true,,Rosario,Portmore
70,85,22,52,98,33,2007,2000,true,,,,Kavála
71,80,19,34,,40,1990,2010,true,true,,Dagu,Homa Bay
72,32,7,31,,37,2009,1995,true,false,,Phon Phisai,Khorugh
73,12,18,88,,51,2000,,false,true,,Saint Ann’s Bay,Sanshan
74,22,93,34,,79,2003,1993,true,false,,Rende,Shibganj
75,87,35,90,,77,2003,2010,false,true,,,Oratorio
76,85,30,64,,95,1994,1980,false,true,,København,Sanqishi
77,31,,67,,77,2004,1994,,true,,Thị Trấn Yên Phú,Gabi
78,82,84,40,10,60,1993,1992,true,true,,Dubravica,Corzuela
79,,67,50,21,24,2007,2009,true,false,,Jianggu,Nyköping
80,,5,73,,43,2003,1991,true,,,,Khonj
81,27,39,35,75,6,2000,2004,true,,,Kirzhach,Wangwu
82,48,89,41,,52,1986,2012,false,,,Wugong,
83,,,58,,64,2009,2003,false,true,,Zuocun,Soca
